證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外資買賣超,外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超,自營商買賣超,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),法人合計買賣超
032109,智邦元大54購06,0,0,0.0,0,0,0,0,0,0.0,447.0,0,0,0,866000,419000,447000,447.0
085706,創意凱基51購02,0,0,0.0,0,0,0,0,0,0.0,445.0,0,0,0,460000,15000,445000,445.0
2401,凌陽,1213000,795000,418.0,0,0,0,0,0,0.0,24.443,1000,4790,-3790,29275,1042,28233,442.443
08975P,臺股指群益52售08,0,0,0.0,0,0,0,0,0,0.0,440.0,0,0,0,640000,200000,440000,440.0
038103,聯鈞元大54購07,0,0,0.0,0,0,0,0,0,0.0,437.0,0,0,0,954000,517000,437000,437.0
037036,南亞科統一57購02,0,0,0.0,0,0,0,0,0,0.0,434.0,0,0,0,434000,0,434000,434.0
089586,富世達元大53購02,0,0,0.0,0,0,0,0,0,0.0,433.0,0,0,0,486000,53000,433000,433.0
032743,漢唐元大53購08,0,0,0.0,0,0,0,0,0,0.0,432.0,0,0,0,450000,18000,432000,432.0
085643,創意兆豐51購02,0,0,0.0,0,0,0,0,0,0.0,428.0,0,0,0,428000,0,428000,428.0
038029,聯鈞國票54購03,0,0,0.0,0,0,0,0,0,0.0,427.0,0,0,0,448000,21000,427000,427.0
085280,昇陽半統一56購01,0,0,0.0,0,0,0,0,0,0.0,425.0,0,0,0,542000,117000,425000,425.0
033855,鈺邦富邦53購01,0,0,0.0,0,0,0,0,0,0.0,425.0,0,0,0,631000,206000,425000,425.0
031778,SGBR2X中信57購01,0,0,0.0,0,0,0,0,0,0.0,422.0,0,0,0,450000,28000,422000,422.0
066077,菱光元富51購01,0,0,0.0,0,0,0,0,0,0.0,422.0,0,0,0,618000,196000,422000,422.0
037303,創意元大54購14,0,0,0.0,0,0,0,0,0,0.0,422.0,0,0,0,423000,1000,422000,422.0
030653,愛普元大52購02,0,0,0.0,0,0,0,0,0,0.0,420.0,0,0,0,428000,8000,420000,420.0
044563,昇陽半統一4B購01,0,0,0.0,0,0,0,0,0,0.0,419.0,0,0,0,419000,0,419000,419.0
036591,永光元富53購01,0,0,0.0,0,0,0,0,0,0.0,418.0,0,0,0,418000,0,418000,418.0
037915,廣宇富邦54購02,0,0,0.0,0,0,0,0,0,0.0,417.0,0,0,0,470000,53000,417000,417.0
